pk,task_type,day_of_culture
1,POND_QUALITY,1
2,FISH_SAMPLING,1
3,FOOD_SAMPLING,1
4,POND_QUALITY,2
5,FISH_SAMPLING,2
6,FOOD_SAMPLING,2
7,POND_QUALITY,3
8,FISH_SAMPLING,3
9,FOOD_SAMPLING,3
10,POND_QUALITY,4
11,FISH_SAMPLING,4
12,FOOD_SAMPLING,4
13,POND_QUALITY,5
14,FISH_SAMPLING,5
15,FOOD_SAMPLING,5
16,POND_QUALITY,6
17,FISH_SAMPLING,6
18,FOOD_SAMPLING,6
19,POND_QUALITY,7
20,FISH_SAMPLING,7
21,FOOD_SAMPLING,7
22,POND_QUALITY,8
23,FISH_SAMPLING,8
24,FOOD_SAMPLING,8
25,POND_QUALITY,9
26,FISH_SAMPLING,9
27,FOOD_SAMPLING,9
28,POND_QUALITY,10
29,FISH_SAMPLING,10
30,FOOD_SAMPLING,10
31,POND_QUALITY,11
32,FISH_SAMPLING,11
33,FOOD_SAMPLING,11
34,POND_QUALITY,12
35,FISH_SAMPLING,12
36,FOOD_SAMPLING,12
37,POND_QUALITY,13
38,FISH_SAMPLING,13
39,FOOD_SAMPLING,13
40,POND_QUALITY,14
41,FISH_SAMPLING,14
42,FOOD_SAMPLING,14
43,POND_QUALITY,15
44,FISH_SAMPLING,15
45,FOOD_SAMPLING,15
46,POND_QUALITY,16
47,FISH_SAMPLING,16
48,FOOD_SAMPLING,16
49,POND_QUALITY,17
50,FISH_SAMPLING,17
51,FOOD_SAMPLING,17
52,POND_QUALITY,18
53,FISH_SAMPLING,18
54,FOOD_SAMPLING,18
55,POND_QUALITY,19
56,FISH_SAMPLING,19
57,FOOD_SAMPLING,19
58,POND_QUALITY,20
59,FISH_SAMPLING,20
60,FOOD_SAMPLING,20
61,POND_QUALITY,21
62,FISH_SAMPLING,21
63,FOOD_SAMPLING,21
64,POND_QUALITY,22
65,FISH_SAMPLING,22
66,FOOD_SAMPLING,22
67,POND_QUALITY,23
68,FISH_SAMPLING,23
69,FOOD_SAMPLING,23
70,POND_QUALITY,24
71,FISH_SAMPLING,24
72,FOOD_SAMPLING,24
73,POND_QUALITY,25
74,FISH_SAMPLING,25
75,FOOD_SAMPLING,25
76,POND_QUALITY,26
77,FISH_SAMPLING,26
78,FOOD_SAMPLING,26
79,POND_QUALITY,27
80,FISH_SAMPLING,27
81,FOOD_SAMPLING,27
82,POND_QUALITY,28
83,FISH_SAMPLING,28
84,FOOD_SAMPLING,28
85,POND_QUALITY,29
86,FISH_SAMPLING,29
87,FOOD_SAMPLING,29
88,POND_QUALITY,30
89,FISH_SAMPLING,30
90,FOOD_SAMPLING,30
91,POND_QUALITY,31
92,FISH_SAMPLING,31
93,FOOD_SAMPLING,31
94,POND_QUALITY,32
95,FISH_SAMPLING,32
96,FOOD_SAMPLING,32
97,POND_QUALITY,33
98,FISH_SAMPLING,33
99,FOOD_SAMPLING,33
100,POND_QUALITY,34
101,FISH_SAMPLING,34
102,FOOD_SAMPLING,34
103,POND_QUALITY,35
104,FISH_SAMPLING,35
105,FOOD_SAMPLING,35
106,POND_QUALITY,36
107,FISH_SAMPLING,36
108,FOOD_SAMPLING,36
109,POND_QUALITY,37
110,FISH_SAMPLING,37
111,FOOD_SAMPLING,37
112,POND_QUALITY,38
113,FISH_SAMPLING,38
114,FOOD_SAMPLING,38
115,POND_QUALITY,39
116,FISH_SAMPLING,39
117,FOOD_SAMPLING,39
118,POND_QUALITY,40
119,FISH_SAMPLING,40
120,FOOD_SAMPLING,40
121,POND_QUALITY,41
122,FISH_SAMPLING,41
123,FOOD_SAMPLING,41
124,POND_QUALITY,42
125,FISH_SAMPLING,42
126,FOOD_SAMPLING,42
127,POND_QUALITY,43
128,FISH_SAMPLING,43
129,FOOD_SAMPLING,43
130,POND_QUALITY,44
131,FISH_SAMPLING,44
132,FOOD_SAMPLING,44
133,POND_QUALITY,45
134,FISH_SAMPLING,45
135,FOOD_SAMPLING,45
136,POND_QUALITY,46
137,FISH_SAMPLING,46
138,FOOD_SAMPLING,46
139,POND_QUALITY,47
140,FISH_SAMPLING,47
141,FOOD_SAMPLING,47
142,POND_QUALITY,48
143,FISH_SAMPLING,48
144,FOOD_SAMPLING,48
145,POND_QUALITY,49
146,FISH_SAMPLING,49
147,FOOD_SAMPLING,49
148,POND_QUALITY,50
149,FISH_SAMPLING,50
150,FOOD_SAMPLING,50
151,POND_QUALITY,51
152,FISH_SAMPLING,51
153,FOOD_SAMPLING,51
154,POND_QUALITY,52
155,FISH_SAMPLING,52
156,FOOD_SAMPLING,52
157,POND_QUALITY,53
158,FISH_SAMPLING,53
159,FOOD_SAMPLING,53
160,POND_QUALITY,54
161,FISH_SAMPLING,54
162,FOOD_SAMPLING,54
163,POND_QUALITY,55
164,FISH_SAMPLING,55
165,FOOD_SAMPLING,55
166,POND_QUALITY,56
167,FISH_SAMPLING,56
168,FOOD_SAMPLING,56
169,POND_QUALITY,57
170,FISH_SAMPLING,57
171,FOOD_SAMPLING,57
172,POND_QUALITY,58
173,FISH_SAMPLING,58
174,FOOD_SAMPLING,58
175,POND_QUALITY,59
176,FISH_SAMPLING,59
177,FOOD_SAMPLING,59
178,POND_QUALITY,60
179,FISH_SAMPLING,60
180,FOOD_SAMPLING,60
